TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-01 10:58:02,1769943482502,thelordwill-8nivomexh-robert-ms-projects.vercel.app/en,GET,,200,vrbgl-1769943482502-298a0e09cebd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,thelordwill-8nivomexh-robert-ms-projects.vercel.app,thelordwill-8nivomexh-robert-ms-projects.vercel.app,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,11,fra1,116,2048,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,01KGCDMG4MY79468XSX1GWJ494,qL7qum7jfuLW,1
2026-02-01 10:58:02,1769943482502,thelordwill-8nivomexh-robert-ms-projects.vercel.app/en,GET,,200,vrbgl-1769943482502-298a0e09cebd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/en,thelordwill-8nivomexh-robert-ms-projects.vercel.app,thelordwill-8nivomexh-robert-ms-projects.vercel.app,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,335,fra1,,,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,,,
2026-02-01 10:58:02,1769943482432,thelordwill-8nivomexh-robert-ms-projects.vercel.app/,GET,,308,vrbgl-1769943482432-5f799d6abc5c,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,middleware,middleware,thelordwill-8nivomexh-robert-ms-projects.vercel.app,thelordwill-8nivomexh-robert-ms-projects.vercel.app,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,25,fra1,116,2048,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,01KGCDMG26JD9HQD9M1PS661N8,qL7qum7jfuLW,1
2026-02-01 10:58:02,1769943482432,thelordwill-8nivomexh-robert-ms-projects.vercel.app/,GET,,308,vrbgl-1769943482432-5f799d6abc5c,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,redirect,/,thelordwill-8nivomexh-robert-ms-projects.vercel.app,thelordwill-8nivomexh-robert-ms-projects.vercel.app,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,42,fra1,,,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,,,
2026-02-01 10:58:02,1769943482395,thelordwill-8nivomexh-robert-ms-projects.vercel.app/,GET,_vercel_jwt=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJzc28tcHJvdGVjdGlvbi1jYWxsYmFjayIsImF1ZCI6InRoZWxvcmR3aWxsLThuaXZvbWV4aC1yb2JlcnQtbXMtcHJvamVjdHMudmVyY2VsLmFwcCIsImlhdCI6MTc2OTk0MzQ4MiwiZXhwIjoxNzY5OTQzNDkyLCJ1c2VySWQiOiJFcFNkSHhVbkhrd0s5UTRxTTVJSVBBNzAiLCJhdmF0YXIiOiJiMjQwOWMzMjhkNjA1MjZmMzU4YTQ5YjYxM2I4YjdmN2I4MGMxOGNiIiwidXNlcm5hbWUiOiJtYWlucm9iZXJ0NTMiLCJub25jZSI6IjZhMTQ5MWM2YjRkNDQ3Y2Y4ZmRjNGRmZWE1ODQwYWIzZjI5ODhiYTA5N2IwNzljMDEyNGRkMDE1NDAyODBjYmEifQ.KjITbdBZeX_SQb3y1drQffQZfkfXcmfPrw9_WYCWmvc&_vercel_jwe=eyJhbGciOiJkaXIiLCJlbmMiOiJBMjU2R0NNIn0..Ws8V4R9k5Czft-e2.bBJiFS3ys-Y7XTJ19yQC7SulhiLqlkUoLPwM1JWdxcvEQw89ci_kRQ7YOJqskyIBGFqCtVStb_U7uOMjpa2oJaJZItJYEWzgkizKRuMoALaJMXOVA6wi_rKaK2RS8hLw0XChR4lNS5zb7lsaaJuK-eyNcoliCir4Ee1hzFzivKs-XeK38b-4FHZ2Z6jnUVbmKDVzSrtsB_3-plmM7CX0MiFZ_P6yqT11xb64MpoyD1-eCCp_KZVW6yQHK_NItTYEr5fh0iJ48kA9OhdLXVUHNpeEydHCnsoaFrT4_FW320czTtqcR_g_U4qHXCynt_q5IPbynFnKA-0acKavJf5dRwQgxfGT.d_QnbOT4UTNjkYnKYcOIPQ,307,fk86v-1769943482395-40443d379370,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,static,/,thelordwill-8nivomexh-robert-ms-projects.vercel.app,thelordwill-8nivomexh-robert-ms-projects.vercel.app,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,12,fra1,,,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,,,
2026-02-01 10:58:01,1769943481691,thelordwill-8nivomexh-robert-ms-projects.vercel.app/,GET,,401,mthj8-1769943481691-f2bc6fd6eabd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,static,/,thelordwill-8nivomexh-robert-ms-projects.vercel.app,thelordwill-8nivomexh-robert-ms-projects.vercel.app,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,128,fra1,,,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,,,
2026-02-01 10:56:24,1769943384875,thelordwill.com/en/bible-travel,GET,nxtPlocale=en,500,thgsp-1769943383152-d0bfbb335539,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/[locale]/bible-travel,thelordwill.com,thelordwill.com,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,,,,,"prisma:error 
Invalid `prisma.travelItinerary.findMany()` invocation:


Error querying the database: FATAL: Tenant or user not found",prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,,,
2026-02-01 10:56:24,1769943384881,thelordwill.com/en/bible-travel,GET,nxtPlocale=en,500,thgsp-1769943383152-d0bfbb335539,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/[locale]/bible-travel,thelordwill.com,thelordwill.com,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,,,,,"Error [PrismaClientInitializationError]: 
Invalid `prisma.travelItinerary.findMany()` invocation:


Error querying the database: FATAL: Tenant or user not found
    at async p (.next/server/app/[locale]/bible-travel/page.js:2:15091) {
  clientVersion: '6.19.1',
  errorCode: undefined,
  retryable: undefined,
  digest: '3256508693'
}",prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,,,
2026-02-01 10:56:23,1769943383152,thelordwill.com/en/bible-travel,GET,nxtPlocale=en,500,thgsp-1769943383152-d0bfbb335539,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,thelordwill.com,thelordwill.com,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,48,fra1,115,2048,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,01KGCDHF81S5ZMG8GS9FK9TG8M,qL7qum7jfuLW,1
2026-02-01 10:56:23,1769943383152,thelordwill.com/en/bible-travel,GET,nxtPlocale=en,500,thgsp-1769943383152-d0bfbb335539,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/[locale]/bible-travel,thelordwill.com,thelordwill.com,dpl_CWqfzpxzrGXCdnWVLTPtBs7kx8ci,1354,iad1,271,2048,,prj_0PwFkhic9HSYxI2hcFXvULiIF5FE,,,01KGCDHFFJXK0MSQ2FSHS4FQ1Y,N9S3LZmH97E1,1
